,Session_ID,Item_ID,Timestamp,MaxClicks,RelativeClicks
0,70,214672841,1,2,0.5
1,70,214712272,1,2,0.5
2,70,214820252,2,2,1.0
3,70,214827022,2,2,1.0
4,75,214639841,1,2,0.5
5,75,214652255,2,2,1.0
6,75,214652437,1,2,0.5
7,75,214668575,1,2,0.5
8,75,214705003,1,2,0.5
9,75,214716984,1,2,0.5
10,75,214829428,1,2,0.5
11,85,214706452,2,2,1.0
12,90,214684513,5,5,1.0
13,135,214539834,1,4,0.25
14,135,214636505,4,4,1.0
15,135,214664767,1,4,0.25
16,220,214534704,1,2,0.5
17,220,214710309,1,2,0.5
18,220,214716939,1,2,0.5
19,220,214717005,1,2,0.5
20,220,214717007,2,2,1.0
21,220,214819378,2,2,1.0
22,220,214821022,1,2,0.5
23,220,214821371,1,2,0.5
24,220,214826715,1,2,0.5
25,220,214832653,1,2,0.5
26,220,214840378,1,2,0.5
27,230,214821020,5,5,1.0
28,245,214716928,1,3,0.333333333333
29,245,214716937,1,3,0.333333333333
30,245,214716939,1,3,0.333333333333
31,245,214716973,3,3,1.0
32,245,214716977,1,3,0.333333333333
33,275,214551911,4,4,1.0
34,280,214607212,4,4,1.0
35,295,214509000,5,5,1.0
36,295,214601049,2,5,0.4
37,310,214717888,3,3,1.0
38,310,214819552,2,3,0.666666666667
39,310,214832557,2,3,0.666666666667
40,345,214718169,1,3,0.333333333333
41,345,214819427,1,3,0.333333333333
42,345,214821022,3,3,1.0
43,345,214821024,1,3,0.333333333333
44,390,214685805,16,16,1.0
45,395,214718203,7,7,1.0
46,435,214840412,3,3,1.0
47,455,214530457,1,2,0.5
48,455,214551890,2,2,1.0
49,455,214551894,2,2,1.0
50,455,214568090,1,2,0.5
51,455,214716973,1,2,0.5
52,455,214717007,1,2,0.5
53,455,214829741,1,2,0.5
54,455,214832653,1,2,0.5
55,455,214838368,1,2,0.5
